id,text,creation_date,post_id,user_id,user_display_name,score
22945172,"I added this:

`INNER JOIN aircraft_sched_options AS acso1 ON acs.Sched_Day1 = acso1.SchedOpt_ID `

but now my table is blank. I know this doesn't really help you to help me, I will try to figure it out and get back.",2013-04-18 04:25:53.217000 UTC,16058967,1728650,,0
42071056,"Yeah, I'm working on an old project.  I was trying to avoid using a different gem for one test but I'll probably have to try it.  I have one test that fails after 4:00 p.m. when tests run on Semaphore because the server uses UTC.  It's really annoying and I want to fix it.",2014-11-04 18:47:00.983000 UTC,26741932,1574508,,0
7082698,"This reminds me of a COBOL programmer on a C course I was giving - his question: ""But what is this memory stuff you keep talking about? And why would I ever want to use it?""",2011-05-24 08:35:14.299999 UTC,6107710,2100815,,0
22554834,Even Apple's own apps?,2013-04-06 09:54:54.009999 UTC,15847811,523234,,0
37551101,Thanks for the quick respones. Your program is working for me,2014-06-19 05:12:42.000000 UTC,24299094,3750776,,0
36781887,"Yes, that is what I have written. Word to word. :-/",2014-05-27 13:47:38.003000 UTC,23889917,605618,,0
34402867,+1! thx. This was driving me crazy...,2014-03-23 20:12:46.150000 UTC,12104750,245785,,0
64764701,That's lot of work. Anyway thanks!,2016-08-01 07:17:32.397000 UTC,38692836,6037606,,1
62615981,For photos JPEG is the appropriate file format if you need to reduce file size. I think a mild JPEG compression is almost lossless even if you apply it twice. You should experiment how much you can reduce the `quality` without an increase of JPEG artifacts. Advice regarding this can be found on the internet (I'm not an expert for JPEG).,2016-06-01 09:13:49.316999 UTC,37560777,1412059,,0
37182459,"The ember way is still to use the ""needs"" approach for binding properties between routing controllers. Setting a property manually on a controller that depends on some other controller, won't bind the property. Plus, setting properties on models, outside of models definitions is bad practice.",2014-06-08 08:28:36.086999 UTC,19948493,359104,,0
43149546,"What does it do instead of work? Nothing at all? Do you have access to the `<VirtualHost>` config on 1and1? If so, does it include `AllowOverride All` (or any AllowOverride directive)? Without an `AllowOverride`, Apache won't even look for a .htaccess.",2014-12-07 20:25:58.657000 UTC,27347393,541091,,1
1775718,"You are correct. The correct method is to use the `UNALIGNED` macro, which expands to the `__unaligned` keyword for alignment-sensitive architectures, or nothing otherwise. I'll edit that in.",2009-12-09 20:31:48.230000 UTC,1876649,224346,,0
60350136,not duplicate post here is the different @ TylerH,2016-04-01 20:36:28.352999 UTC,36364854,5238461,,0
61794601,"Why do you think using the ConnectivityManager.CONNECTIVITY_ACTION requires API level 21 or higher? According to the [docs](http://developer.android.com/intl/ru/reference/android/net/ConnectivityManager.html#CONNECTIVITY_ACTION), this was added in API level 1.",2016-05-09 23:30:00.400000 UTC,35446917,1310204,,0
48620364,yes i will try it in my previous  application  work fine,2015-05-15 13:09:06.153000 UTC,30259857,4461788,,0
32915026,I'm not sure I fully understand how it all links together. Could you provide a screenshot instead of your ASCII diagram?,2014-02-13 16:27:00.119999 UTC,21757619,2291321,,1
65087891,Why do i need the esp as an arg?,2016-08-09 23:38:40.319999 UTC,38860563,5768335,,0
16573920,"It ought to have the ScalaDoc somewhere, though. I built it from sources and saved a bookmark on my browser to the local dir, and that helps, but it also sucks to have to do that.",2012-09-10 01:49:28.062999 UTC,12343111,53013,,0
54058960,"Your code already has the location coordinates, why do you think you need the geocoder?  What are the postcodes you are trying to geocode?  (**Note**: the geocoder is subject to a quota and rate limit, it will only work for ~10 locations before you need to deal with that).",2015-10-14 10:41:27.832999 UTC,33122934,1210329,,0
60371466,"it's ok , suppose it int",2016-04-02 18:06:45.913000 UTC,36376847,5946535,,0
278994,"Yes, this solves the problem. But why?",2009-01-20 02:04:03.207000 UTC,459894,5295,,0
70630945,it worked thanks . :-),2017-01-18 11:27:29.359999 UTC,41709452,6257318,,0
47957266,"Your Always welcome. I was also asking that, now you have told that you wants  center align, Any ways Congrats! @aldakur",2015-04-28 11:26:00.346999 UTC,29905171,3863793,,0
46523082,"I guess my problem is how to toggle between the public and private states.   Perhaps I could make a route for another path, which wouldn't have access control enabled, and there the public content would appear from the user's private index.html.erb?",2015-03-19 17:01:01.816999 UTC,29145507,3016477,,0
61589784,"I've actually tried using Klein but I keep getting errors when I try it, go to http://stackoverflow.com/questions/37013869/how-do-i-run-klein-with-twisted",2016-05-04 05:39:12.990000 UTC,37018297,6063708,,0
19766744,`@location.update_attributes(params[:location])` could work,2013-01-09 20:23:16.650000 UTC,14245726,976775,,1
41919553,I've added additional code above.  This is the very beginning of a function; the variables are defined ahead of time and should hoist to my function scope appropriately.,2014-10-30 16:44:21.282999 UTC,26658480,1177198,,0
21167367,"Works when i apply it to the <tr> but there are no misplaced <div> tags as of what i can see, anyway thanks",2013-02-24 20:05:09.836999 UTC,15056010,2103027,,0
4268112,"3) Regarding the MDI kind of UI, this can definitely be done. Look in google for examples, but rest assured that WPF will allow it, with less or more effort depending on your scenario.",2010-10-21 13:23:12.859999 UTC,3978212,210494,,0
41377156,"@downvoters  No problem for your vote ,If you have any opinion then put your comment , It will help to me and others",2014-10-14 11:21:37.183000 UTC,26358493,3215950,,0
49551644,I have added the dll into my project.when i running on console it is running fine but when i am running through mono then i am facing problem,2015-06-10 06:26:22.183000 UTC,30748586,4675005,,0
53364902,"can you show me the onCreate method in your activity that contains the TextView, Edit Text and boolean ? Maybe your savedInstance state is missing.",2015-09-24 13:40:34.266999 UTC,32750734,2855535,,0
28233128,"Yes I removed the x:Key attribute and it now works, thanks for your help. The next part of my project is for only some of the rows to have toggle buttons not all of them - I'll post another that under another question now.",2013-09-30 14:32:08.019999 UTC,19094933,2730554,,0
61629844,So i added what you just mentioned above^ into my perl code.. it does print out on the browser but in a very ugly way. It shows it as plain text with white background on top of my webpage and then under it is the actual html page ..did i do something wrong,2016-05-04 23:53:59.273000 UTC,37039893,6163706,,0
2737235,"Thanks, that's done the trick. Simple really!",2010-04-26 09:35:03.230000 UTC,2712307,255755,,0
11976745,"I don't understand why did you downvote a valid answer. You clearly edited your question while I was posting it. Please read the updated response. Also, provide details on your instance size (which you didn't)",2012-02-27 13:36:26.839999 UTC,9465782,117298,,0
10422872,What do you get? What is your coeff? Your normals are still wrong. How do you normalize?,2011-12-08 16:49:22.653000 UTC,8429777,488657,,0
40758335,So is it doing a full postback on the delete?,2014-09-24 16:49:21.122999 UTC,26020702,2589202,,0
44865053,"Thanks for info, but I am specifically asking for Windows Phone 8.1. The solution you gave works for Windows Store Apps. (Not Phone) Please see my related question here http://stackoverflow.com/questions/28185424/windows-store-apps-playing-background-audio-with-mediaelement",2015-01-31 15:19:40.183000 UTC,28250692,929902,,0
41532030,"This works perfectly for me, I no longer have the warnings. I did ""sudo apt-get install"" for both epstool and for transfig. Thanks @huntj for giving me some of your precious time.",2014-10-18 21:21:25.996999 UTC,26442075,2856552,,1
67955759,"AFAIK, the type inferred from the value can widen the type declared, although it is very counter-intuitive (so maybe there's something I'm missing).",2016-10-31 21:11:13.049999 UTC,40350610,129032,,0
5354825,"moreover, this looks like a server-side error. Do you have access to the server logs ? What are they saying ?",2011-01-28 10:00:01.236999 UTC,4826872,104117,,0
